Date,Open,High,Low,Close,Adj Close,Volume
2018-12-12,null,null,null,null,null,null
2018-12-13,1035.000000,1055.000000,1030.000000,1035.000000,1035.000000,23760800
2018-12-14,1035.000000,1035.000000,1000.000000,1010.000000,1010.000000,9399300
2018-12-17,1010.000000,1010.000000,950.000000,975.000000,975.000000,27719300
2018-12-18,965.000000,995.000000,955.000000,980.000000,980.000000,16954400
2018-12-19,985.000000,1025.000000,985.000000,1010.000000,1010.000000,16257200
2018-12-20,1025.000000,1025.000000,965.000000,980.000000,980.000000,15758600
2018-12-21,975.000000,1005.000000,970.000000,995.000000,995.000000,18325700
2018-12-24,995.000000,995.000000,995.000000,995.000000,995.000000,0
2018-12-25,995.000000,995.000000,995.000000,995.000000,995.000000,0
2018-12-26,995.000000,995.000000,965.000000,975.000000,975.000000,6272800
2018-12-27,990.000000,1000.000000,975.000000,995.000000,995.000000,15977800
2018-12-28,1000.000000,1010.000000,975.000000,1010.000000,1010.000000,20602200
2018-12-31,1010.000000,1010.000000,1010.000000,1010.000000,1010.000000,0
2019-01-01,1010.000000,1010.000000,1010.000000,1010.000000,1010.000000,0
2019-01-02,1010.000000,1015.000000,990.000000,990.000000,990.000000,6959900
2019-01-03,990.000000,1050.000000,990.000000,1045.000000,1045.000000,39099900
2019-01-04,1045.000000,1065.000000,1030.000000,1040.000000,1040.000000,26956400
2019-01-07,1060.000000,1095.000000,1050.000000,1085.000000,1085.000000,54683300
2019-01-08,1070.000000,1095.000000,1035.000000,1040.000000,1040.000000,30485700
2019-01-09,1040.000000,1060.000000,1025.000000,1040.000000,1040.000000,15614700
2019-01-10,1045.000000,1070.000000,1035.000000,1055.000000,1055.000000,29783700
2019-01-11,1065.000000,1075.000000,1050.000000,1060.000000,1060.000000,30300400
2019-01-14,1060.000000,1065.000000,1035.000000,1045.000000,1045.000000,12327400
2019-01-15,1045.000000,1060.000000,1035.000000,1050.000000,1050.000000,35342000
2019-01-16,1050.000000,1070.000000,1040.000000,1045.000000,1045.000000,37110500
2019-01-17,1050.000000,1065.000000,1005.000000,1010.000000,1010.000000,50745100
2019-01-18,1010.000000,1020.000000,975.000000,980.000000,980.000000,41444700
2019-01-21,985.000000,1000.000000,950.000000,950.000000,950.000000,37322400
2019-01-22,950.000000,980.000000,950.000000,960.000000,960.000000,36695800
2019-01-23,960.000000,1025.000000,960.000000,990.000000,990.000000,85890200
2019-01-24,1000.000000,1010.000000,980.000000,990.000000,990.000000,53713100
2019-01-25,1000.000000,1005.000000,980.000000,980.000000,980.000000,22853400
2019-01-28,995.000000,995.000000,920.000000,925.000000,925.000000,70850300
2019-01-29,925.000000,940.000000,900.000000,905.000000,905.000000,37689800
2019-01-30,910.000000,910.000000,865.000000,880.000000,880.000000,68345700
2019-01-31,890.000000,980.000000,890.000000,975.000000,975.000000,188325100
2019-02-01,980.000000,1000.000000,955.000000,965.000000,965.000000,76489500
2019-02-04,975.000000,975.000000,930.000000,935.000000,935.000000,45765300
2019-02-05,935.000000,935.000000,935.000000,935.000000,935.000000,0
2019-02-06,940.000000,995.000000,935.000000,960.000000,960.000000,85503100
2019-02-07,975.000000,995.000000,940.000000,950.000000,950.000000,28013100
2019-02-08,950.000000,955.000000,940.000000,945.000000,945.000000,18056000
2019-02-11,945.000000,950.000000,920.000000,930.000000,930.000000,21331600
2019-02-12,930.000000,935.000000,895.000000,910.000000,910.000000,42830200
2019-02-13,915.000000,920.000000,895.000000,900.000000,900.000000,20487300
2019-02-14,900.000000,905.000000,870.000000,880.000000,880.000000,41853300
2019-02-15,885.000000,915.000000,865.000000,870.000000,870.000000,57276000
2019-02-18,875.000000,910.000000,875.000000,900.000000,900.000000,56608300
2019-02-19,905.000000,915.000000,890.000000,900.000000,900.000000,25678100
2019-02-20,900.000000,925.000000,900.000000,915.000000,915.000000,41015200
2019-02-21,915.000000,920.000000,895.000000,900.000000,900.000000,33583800
2019-02-22,900.000000,910.000000,870.000000,880.000000,880.000000,38136400
2019-02-25,880.000000,900.000000,860.000000,865.000000,865.000000,42646800
2019-02-26,870.000000,900.000000,865.000000,895.000000,895.000000,48090800
2019-02-27,900.000000,925.000000,885.000000,910.000000,910.000000,66209000
